compound: 0.6486, neg: 0.0, neu: 0.773, pos: 0.227, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.128, neg: 0.101, neu: 0.828, pos: 0.071, 
compound: 0.0018, neg: 0.2, neu: 0.6, pos: 0.201, 
compound: -0.5733, neg: 0.426, neu: 0.574, pos: 0.0, 
compound: -0.8519, neg: 0.538, neu: 0.462, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.4019, neg: 0.162, neu: 0.838, pos: 0.0, 
compound: 0.34, neg: 0.0, neu: 0.556, pos: 0.444, 
compound: 0.34, neg: 0.0, neu: 0.556, pos: 0.444, 
compound: -0.5574, neg: 0.474, neu: 0.526, pos: 0.0, 
compound: 0.0382, neg: 0.0, neu: 0.813, pos: 0.187, 
compound: -0.8402, neg: 0.25, neu: 0.75, pos: 0.0, 
compound: -0.7783, neg: 0.256, neu: 0.705, pos: 0.038, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.34, neg: 0.0, neu: 0.625, pos: 0.375, 
compound: -0.0772, neg: 0.394, neu: 0.606, pos: 0.0, 
compound: 0.34, neg: 0.0, neu: 0.625, pos: 0.375, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4939, neg: 0.0, neu: 0.385, pos: 0.615, 
compound: 0.1063, neg: 0.128, neu: 0.707, pos: 0.165, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.7587, neg: 0.0, neu: 0.779, pos: 0.221, 
compound: 0.2023, neg: 0.0, neu: 0.769, pos: 0.231, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.2057, neg: 0.0, neu: 0.794, pos: 0.206, 
compound: 0.7269, neg: 0.0, neu: 0.882, pos: 0.118, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.357, neg: 0.216, neu: 0.784, pos: 0.0, 
compound: -0.0516, neg: 0.05, neu: 0.95, pos: 0.0, 
compound: -0.0772, neg: 0.061, neu: 0.939, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.5267, neg: 0.0, neu: 0.884, pos: 0.116, 
compound: 0.3182, neg: 0.0, neu: 0.798, pos: 0.202, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.129, neg: 0.092, neu: 0.78, pos: 0.128, 
compound: -0.1513, neg: 0.285, neu: 0.715, pos: 0.0, 
compound: -0.0258, neg: 0.046, neu: 0.954, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4404, neg: 0.0, neu: 0.58, pos: 0.42, 
compound: -0.2023, neg: 0.184, neu: 0.816, pos: 0.0, 
compound: 0.4956, neg: 0.057, neu: 0.754, pos: 0.189, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0951, neg: 0.0, neu: 0.953, pos: 0.047, 
compound: 0.6249, neg: 0.0, neu: 0.697, pos: 0.303, 
compound: -0.2057, neg: 0.232, neu: 0.768, pos: 0.0, 
compound: 0.1779, neg: 0.0, neu: 0.825, pos: 0.175, 
compound: 0.2023, neg: 0.0, neu: 0.893, pos: 0.107, 
compound: 0.5859, neg: 0.0, neu: 0.787, pos: 0.213, 
compound: 0.2023, neg: 0.0, neu: 0.833, pos: 0.167, 
compound: 0.3612, neg: 0.0, neu: 0.444, pos: 0.556, 
compound: -0.0258, neg: 0.046, neu: 0.954, pos: 0.0, 
compound: 0.5574, neg: 0.0, neu: 0.833, pos: 0.167, 
compound: 0.4215, neg: 0.0, neu: 0.823, pos: 0.177, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.079, neg: 0.0, neu: 0.92, pos: 0.08, 
compound: -0.128, neg: 0.073, neu: 0.927, pos: 0.0, 
compound: 0.5873, neg: 0.06, neu: 0.718, pos: 0.223, 
compound: 0.5859, neg: 0.0, neu: 0.798, pos: 0.202, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.7003, neg: 0.066, neu: 0.688, pos: 0.247, 
compound: 0.1779, neg: 0.0, neu: 0.936, pos: 0.064, 
compound: -0.7263, neg: 0.298, neu: 0.702, pos: 0.0, 
compound: 0.4767, neg: 0.0, neu: 0.721, pos: 0.279, 
compound: 0.2023, neg: 0.0, neu: 0.909, pos: 0.091, 
compound: 0.6908, neg: 0.072, neu: 0.65, pos: 0.278, 
compound: 0.0649, neg: 0.099, neu: 0.779, pos: 0.121, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.3197, neg: 0.0, neu: 0.874, pos: 0.126, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.3182, neg: 0.0, neu: 0.897, pos: 0.103, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.1531, neg: 0.257, neu: 0.571, pos: 0.171, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4404, neg: 0.0, neu: 0.836, pos: 0.164, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.2263, neg: 0.147, neu: 0.853, pos: 0.0, 
compound: -0.0772, neg: 0.152, neu: 0.711, pos: 0.137, 
compound: -0.3612, neg: 0.263, neu: 0.737, pos: 0.0, 
compound: -0.25, neg: 0.25, neu: 0.75, pos: 0.0, 
compound: 0.34, neg: 0.0, neu: 0.702, pos: 0.298, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
